,Title,Company,Description,Type,Maximum,Minimum,isYearly
258,"Project Engineer, PSD, Mobility Rail",ST ENGINEERING URBAN SOLUTIONS LTD.,"We are looking for a resourceful, energetic Project Engineer / Coordinator to join us. Project Engineers will have the opportunity to work on exciting, large-scale, turnkey projects in the transportation industry. The Project Engineer coordinates the work of multi-disciplinary engineering teams and manages external stakeholders such as customers, vendors, and interfacing parties.

This role provides leadership to cross functional teams in the development and implementation of railway products both domestically and globally. This requires facilitating workshops, managing schedules, coordinating timelines, consolidating reporting, and managing multiple processes for each phase of the project. Project Engineers will also be trained to be able to provides financial estimates and analysis for project planning and budgeting.
Software coding skills will be an advantage as it will allow the Project Engineer to develop useful automation and digitization tools.

We’re looking for Project Engineers with a background and passion in technical engineering. We believe that success as a Project Engineer is strongly influenced by your ability to appreciate technical details.

Job Requirement:
Master/Bachelor Degree or Diploma in Engineering
Good communication and coordination skills
Organized and meticulous
PMP Certification is an advantage
Software skills in Excel VBA / Python is an advantage
Fresh graduates are welcomed to apply",Full-time,7000,3500,False
233,FW/SW Engineer,ULTRA-WIRELESS PTE. LTD.,"Job Responsibilities
1. Engage in firmware/software development for communication system, positioning system, bioradar system and products
2. Perform detailed firmware/software design, unit testing, integration testing, system testing, etc.

Job Requirements
1. Bachelor degree or above, major in computer software, communication, automation, applied mathematics, and so on
2. Solid experience in C/C++ and Python programming languages, and good know-how for process-oriented, object-oriented or event-driven firmware/software development
3. Experience in network equipment software development or embedded development experience is preferred
4. Strong background in software engineering, and be familiar with software development and testing processes
5. Enthusiastic, active at work, strong learning ability, good communication and collaboration skills
6. Fresh MS graduates are welcome.",Permanent,7000,5000,False
268,Project Engineer (Main-Con),GIN CHIA CO PTE LTD,"Roles & Responsibilities:
Assist the Project Manager in all on-site technical/ engineering matters and authority submissions.
Prepare submission of shop drawing / Materials / MOS/ Monthly Progress Claims and PM Reports.
Lead in Site Coordination and execution relating to the construction project.
Planning of micro-scheduling with other trades/disciplines against the Master program
To update structural/architectural/M&E progress with scheduling tools.
Supervise and monitor projects carried out in accordance with the company’s operating procedures, quality standards & and contractual specifications.
Ensuring supervisors & and foremen meet clients’ regulatory work requirements.
To check and ensure compliance with the TOP checklist
Responsible for all inspection activities being carried out.
Ensuring environmental, safety, and health practices are carried out at all times.
Requirements:
Degree in Civil / Mechanical / Electrical or recognized by PE Board/ BCA
1-2 years’ experience in Building Engineering projects, fresh graduates are welcome to apply
Experience with Precast/PPVC/MET projects will be a plus
Proficient in MS Office, AutoCAD, and BIM
A team player with a positive working attitude",Full-time,6500,3000,False
64,Developer (Full Stack),UNO TECHNOLOGIES PTE. LTD.,"Responsibilities:-
We are looking for Software Engineers & Developers to enhance our in-house product offerings and build the next generation Med-Tech applications.
You will work with a team of Developers, Designers and Product Managers throughout the software development cycle.

Requirements:-
Self-Taught, Fresh-Grads and Experienced Professionals all welcome. As long as you can show a good portfolio of work/personal projects we are chill.
Javascript nerds will get an edge.
Passion for leveraging technology to help solve healthcare issues and improve the quality of lives of both medical professionals and patients.
Be able to demonstrate technical abilities in personal/professional projects is critical
Stickler for best practices and keeping your code clean is a plus
Advantageous: Javascript (NodeJS, VueJS, ReactJS jQuery), PHP (Laravel), HTML/CSS Frameworks (Bootstrap), MySQL/MariaDB, cloud services (AWS), serverless concepts, Docker containers, Micro Services, CI/CD, general IT security concepts and data privacy awareness.",Full-time,6500,4500,False
314,Sales Engineer (Automation | BMS),JoinUs Asia Singapore,"RESPONSIBILITIES
Identifies new business opportunities and creates an Account Strategy and Plan of Action.
Collaborates with company's affiliate sales to provide pre-sale product and technical support such as customer engagement, project-specific proposal preparation, clarification meetings, and 3rd party event support.
Assists in developing sales toolkit.
Understands customer value drivers and conveys the company's value proposition.
Analyzes and influences customer's decision makers and buying criteria.
Gathers customer requirements data and works with solution specialists to create customer proposals.
Document sales activities and create summary reports for management.
REQUIREMENTS
Diploma / Degree in any engineering discipline.
At least 1 year of key account development and sales experience in Automation
Fresh graduates welcome to apply.
Job Types: Full-time, Permanent
Salary: $3,500.00 - $6,500.00 per month
Benefits:
Professional development
Schedule:
Monday to Friday
Supplemental pay types:
13th month salary
Commission pay
Performance bonus
Experience:
Automation Equipment Sales: 1 year (Preferred)
Work Location: In person","Full-time, Permanent",6500,3500,False
211,Developer (Front),UNO TECHNOLOGIES PTE. LTD.,"Responsibilities:-
We are looking for Software Engineers & Developers to enhance our in-house product offerings and build the next generation Med-Tech applications.
You will work with a team of Developers, Designers and Product Managers throughout the software development cycle.

Requirements:-
Self-Taught, Fresh-Grads and Experienced Professionals all welcome. As long as you can show a good portfolio of work/personal projects we are chill.
Javascript nerds will get an edge.
Passion for leveraging technology to help solve healthcare issues and improve the quality of lives of both medical professionals and patients.
Be able to demonstrate technical abilities in personal/professional projects is critical.
Stickler for best practices and keeping your code clean is a plus.
Advantageous: Javascript (NodeJS, VueJS, ReactJS jQuery), PHP (Laravel), HTML/CSS Frameworks (Bootstrap), MySQL/MariaDB, cloud services (AWS), serverless concepts, Docker containers, Micro Services, CI/CD, general IT security concepts and data privacy awareness.",Full-time,6500,4500,False
141,Assistant Shift Charge Engineers,MERANTI POWER PTE. LTD.,"Meranti Power Pte. Ltd., a fully owned subsidiary of Energy Market Authority, is establishing an Operations Department team to operate the gas turbines of our power generation station.

We are inviting applicants for the position of Assistant Shift Charge Engineers, who shall report to Head of Operations and is in-charge of supervision of the power station operations during shift duty to ensure safe, efficient operations and effective resolution of operation technical matters. The Assistant Shift Charge Engineer shall support Head, Operations and assume the following:

Responsibilities:
Manage and oversee the operation of the Power Plant in accordance to regulatory requirements and the Singapore Electricity Market Rules.
Ensure full compliance for environmental, health and safety in plant operations.
Prepare the monthly operations duty shift roster for the Operations Department. Organise the activities on shifts and allocates duties and responsibilities of Technical Officers.
Provide Technical Support for staff in relation to plant and equipment being operated at the power station to ensure continuous operation of the plant
Identify areas of operational concerns and any impacts or conflicts to ensure safe and efficient plant operations.
Monitor day to day progress and operations of the plant to ensure compliance with regulatory, statutory and company policies and procedures, housekeeping, safety practices and standards.
Monitor operational shift targets to ensure attainment of overall capacity plans
Ensure the availability of inputs (e.g. gas, diesel) for operational requirements for the shift
Prepare technical reports on the condition and activities of the plant including incidents.
Develop standard operation procedures and alarm responses to plant operation malfunction / abnormalies.

Requirements:
Education in Engineering or equivalent
Minimum 2 years’ of relevant experience in power plant operations
Possession of a steam boiler engineer 2nd class certification would be an advantage
Strong knowledge of engineering practices, functions and processes involved in the operation of a power station.
Ability to multitask, good team player and problem solver
Ability to communicate with staff in different functions
Must be willing to perform 12-hour shift on rotation basis when plant is operational
Work location is in Jurong Island (Transport to and from Jurong East MRT are provided)
Fresh graduates with the right aptitude are welcomed to apply.

Interested candidates, please forward your detailed resume, including last drawn salary, expected salary and date of availability to HR@merantipower.com.sg

Only shortlisted candidates will be notified.

By submitting your personal data and/or resume to Meranti Power Pte. Ltd. (“MP”) or to HR@merantipower.com.sg, you shall be deemed to have given your consent to MP for collecting, using, and disclosing your personal data for the purpose of assessing your job application.",Full-time,6500,5000,False
11,Planning Engineer,TIONG SENG CONTRACTORS (PRIVATE) LIMITED,"Job Description:
Report to Head of Planning / Planning Manager / Technical Manager
Involved in all trades coordination during design development and planning stage (Architectural , Structural & MEP)
Basic knowledge of authority requirement / regulation to execute planning works
Ability to adapt to digitalised process in construction industry
Job Requirement:
Bachelor's Degree in Civil & Structural Engineering or Science (Construction)
Basic knowledge of Power BI , MS Teams is an added advantage
Ability to communicate effectively with China Labour Subcontractors
Fresh graduates are welcome to apply",Permanent,6500,4000,False
312,Mobile App Developer,LYNK International,"Responsibilities:
Collaborate with cross-functional teams to define, design, and ship new features.
Develop high-quality mobile applications for iOS and Android platforms using native languages, Flutter, and React Native.
Optimize mobile applications for maximum performance and scalability.
Implement clean, maintainable, and reusable code.
Troubleshoot and debug issues to ensure the highest level of application stability.
Stay updated on the latest industry trends, technologies, and best practices in mobile app development.
Work closely with UI/UX designers to ensure the best user experience.
Collaborate with stakeholders, including product managers, designers, and other developers, to gather and analyze requirements, and translate them into technical specifications and implementation plans.
Design, develop, and maintain scalable and efficient mobile applications, both on the front-end and integration with back-end, using appropriate technologies, frameworks, and programming languages.
Implement user interfaces with a focus on usability, responsiveness, and cross-browser compatibility, using modern front-end frameworks such as React, Angular, or Vue.js.
Ensure code quality and maintainability through code reviews, testing, and adherence to coding standards and best practices.
Provide technical guidance, mentorship, and support to junior developers, fostering their growth and helping them improve their skills.
Collaborate with cross-functional teams, including designers, front-end developers, back-end developers, and QA engineers, to ensure successful project delivery and meet project timelines.
Stay updated with emerging technologies, trends, and industry developments, and evaluate their potential application to ongoing projects.
Troubleshoot and resolve complex technical issues, working closely with team members to identify root causes and implement effective solutions.
Participate in the continuous improvement of development processes, tools, and methodologies, driving efficiency and effectiveness.
Contribute to the documentation of code, architecture, and processes to facilitate collaboration, maintain knowledge, and support future development efforts.
Be well versed in using CI/CD pipelines using tools such as Jenkins, GitLab CI/CD, or Azure DevOps to enable continuous integration, delivery, and deployment of software applications.
Collaborate with development teams to ensure application code is properly integrated into the CI/CD pipelines and implement strategies for automated testing and quality assurance.
Implement security best practices during coding process to ensure compliance with relevant standards and regulations throughout the development and deployment process.
Stay up to date with industry trends and emerging technologies related to mobile application and software development, and evaluate their potential to enhance existing systems and processes.
Mentor and provide technical guidance to junior members of the team, review their work, and participate in code reviews to ensure code quality and adherence to best practices.
Collaborate with cross-functional teams, including software developers, system administrators, and project managers, to ensure successful project delivery and effective communication.
Qualifications:
Bachelor's degree in Computer Science, Engineering, or a related field. Equivalent work experience may be considered.
Proven experience as a web app developer.
Proficiency in multiple programming languages, experience with modern web frameworks (e.g., Laravel, React, or Node.js).
Excellent problem-solving and troubleshooting skills, with the ability to analyze complex systems and identify practical solutions.
Strong communication and collaboration skills, with the ability to work effectively in cross-functional teams and communicate technical concepts to non-technical stakeholders.
Proven ability to provide technical leadership, mentorship, and guide the team in implementing best practices and industry standards.
Job Types: Full-time, Part-time, Permanent, Contract, Temporary, Internship, Fresh graduate, Freelance, Student job
Contract length: 3 months
Salary: $2,500.00 - $6,500.00 per month
Expected hours: 10 – 40 per week
Benefits:
Flexible schedule
Schedule:
Monday to Friday
Supplemental pay types:
Performance bonus
Yearly bonus
Experience:
Application development: 1 year (Preferred)
Work Location: Hybrid remote in Singapore 288533
Expected Start Date: 15/04/2024","Full-time, Part-time, Internship, Fresh graduate, Temporary, Permanent, Contract, Freelance, Student job",6500,2500,False
326,Senior Systems Engineer,Sistic.com Pte Ltd,"Role
Manage IT operations including managing servers, active directory, backups, virtualisation, storage and other infrastructure related tools.
Comfortable with hands-on technical responsibilities and be on-the-ground to assess and solve technical problems.
Participate in IT infrastructure projects, audits, and routine exercises such as Disaster Recovery (DR) exercises.
Manage and follow up with IT vendors on IT service level delivery, infrastructure/hardware issues and errors.
Collaborate with all sites of IT vendors as well as internal application project and support teams to provide technical knows-how related to infrastructure and security.
Ensure security, compliance, governance, and policies are adhered to Perform periodic reviews.
Drive standardization of infrastructure, security including policies and procedures.
Requirements
Minimum Diploma in Computer Studies or Computer Engineering.
Minimum 10 years of IT related experience in infrastructure and operations within which at least more than 8 years of Linux platforms technologies experience.
Strong familiarity with server, virtualization, security, backup, storage and hardware
Working knowledge of cloud administration. Knowledge on GCP will be an additional advantage.
Experience in Cloud and Hybrid (On-premises / Cloud) architectural environment an advantage.
Have good experience and proven track records in project management, stakeholder management and vendor management.
Strong leadership, people management skills, excellent communication, interpersonal and presentation skills
Possesses ITIL, ITSM certifications.
Ability to work independently and communicate effectively.
Fresh graduate will be considered for entry role.
Job Type: Full-time
Salary: $3,500.00 - $6,500.00 per month
Benefits:
Dental insurance
Health insurance
Schedule:
Monday to Friday
Supplemental pay types:
13th month salary
Experience:
Linux: 8 years (Required)
Work Location: In person","Full-time, Permanent",6500,3500,False
199,Senior Engineer - Factory Integration Data Scientist,NodeFlair,"Job Summary

Salary
S$4,200 - S$6,000 / Monthly

Job Type

Seniority
Senior

Years of Experience
At least 1 year

Tech Stacks
ETL

Job Description
In your new role you will:
Be part of a global pioneer team to implement Scheduling Optimization solutions to enable next level of smart manufacturing on dispatching &scheduling
Develop, systemize and deploy ETL (Extract, Transform, Load) models to enable digital twins for manufacturing facilities optimization
Responsible for the technical improvements of Data Automation- components
Participate in the data exploration, and be responsible for improving data quality and productivity, and including massive data processing, data analysis, data validations
Summarize and clearly communicate data analysis assumptions and results
Collaborate with stakeholders to take ambiguous problem statement, refine the scope of the analysis, and use the results to drive informed decisions
Provide user consultancy support & training for Data Automation
Key-Interface to multi-disciplinary stakeholders like production, supply chain, industrial engineering and capacity planning

You are best equipped for this task if you have:
Bachelor’s Degree in Computer Science / Data Science / Industrial Engineering is preferred
1 to 5 years of related working experience is preferred but fresh graduates are welcome to apply for entry level
Knowledge on Data Automation like ETL (Extract, Transform, Load)modeling is preferred
Experience in Manufacturing Execution System (MES) and ETL Tools will be an advantage
Excellent communication and interpersonal skills, and able to work both independently and a team player in a global setup
Ability to identify and build abstractions and tools to solve recurring challenge
Good analytical and problem solving skills",Fresh graduate,6000,4200,False
168,Civil and Structural Design Engineer,BDC CONSTRUCTION PTE. LTD.,"Roles & Responsibilities
Job Description
Carry out Civil and Structural related detailed design, drawings, analysis and calculation required.
Responsible for the structural analysis, design and authority submission to liaise with client or contractor.
Provide technical support and monitoring the construction progress, discuss with immediate Supervisor and give out solution on site issues.
Prepare calculation and drawings for temporary or permanent structures in obtaining approval from authority.
Check and review all Civil and Structural related drawings and documentation received from Contractor or Client.
Can do drafting as assigned by immediate supervisor, inspection and other work assigned from time to time.
Has knowledge in any related authority submission of projects
Job Requirements
Diploma/Degree holder with Structural related discipline
Preferred graduate from local University or from overseas University with Excellent Academic results.
Fresh graduate may apply
Ability to work independently.
Familiar with EuroCode Design
Excellent in written and verbal communication
Experienced and proficient in using AutoCad 2007 and Structural Analysis Software (MIDAS, SAP, STAAD etc.)
Technical expertise and knowledge of concrete material & structure design
A team player with the ability to multi-task, prioritize and organize tasks
Possess a ""can do"" attitude",Full-time,6000,3000,False
335,Mechanical Design Engineer,Greatech Integration (M) Sdn Bhd,"Job Description:
Responsible for product design and development using 3D Cad software and other simulation tools.
Plan and manage mechanical design schedule.
Execute mechanical piece part design, process and tooling verification.
Implement product and process improvement.
Coordinate design phases, transfer and project scheduling.
Checking of drawings and preparation of Bill of Materials (BOM).
Translate customer's requirement into design specification, evaluate design feasibility and provide technical expertise to meet customer's request.
Establishes design objectives for specific projects, perform detailed calculations and develop innovative and creative design for various difficult and complex project features.
Coordinates and plans work for other drafters to complete a project assignment.
On site support for mechanical related issues.
Other duties and assignments as instructed by superiors from time to time.
Job Requirements
At least Bachelor's Degree Engineering of Mechanical, Mechatronic / Electromechanical or equivalent.
Fresh graduate for CGPA with 3.0 above are highly encourage to apply.
Good interpersonal communication skill & negotiation skill with customer and business partner.
Ability to work independently & be self-sufficient while managing multiple projects
Candidate are required to work in Greatech new office in Singapore.
Job Type: Full-time
Salary: $3,500.00 - $6,000.00 per month
Benefits:
Health insurance
Parental leave
Professional development
Schedule:
Monday to Friday
Supplemental pay types:
13th month salary
Performance bonus
Yearly bonus
Experience:
Mechanical design: 1 year (Preferred)
Willingness to travel:
100% (Preferred)",Full-time,6000,3500,False
264,Product Manager,DUOTECH PTE. LTD.,"Role Summary
The ideal candidate is an analytical team player who will be responsible for the entire product lifecycle from strategy to evaluation. You will also work cross-functionally to complete product roadmaps and discover new opportunities.

Responsibilities:
Oversee and manage product roadmap by aligning with business goals
Manage timeline, priority and delivery of new features
Work alongside a scrum team which consist of developers and QA engineers
Manage stakeholder request and prioritise features based on business needs
Identify success metric of each features and measure the outcome of each delivery
Prepare product requirement documents for each feature
Analyse user journey and user experience of our customers
Requirements:
Fresh graduates with intern experience in Fintech/ Crypto industry are welcome to apply.
Must be comfortable to do presentation in Mandarin/Chinese to the stakeholders stationed in China
Hands-on experience in delivering product from ideation to end-product
Excellent organisational and communication skills
Data-driven and outcome-focused
Good understanding of Agile Scrum methodology
Project management experience
Candidates with experience in Financial Institutions/Fintech/Banking background would be an added advantage.
Benefits:
AWS 13 Month Bonus
Annual Performance Bonus
Competitive Remuneration Salary Package
Fixed Monthly Mobile Allowance
Flexible Employee Health Benefits Scheme (Purchase for Gym Membership/Spa/Hotels/Flight/Electronic Devices)
Insurance & Dental Plan
Monthly Company Sponsored Tea Break
Quarterly Department Team Building
Quarterly Company Team Building
Accessible Working Location (5-8 mins walk from Chinatown/ClarkeQuay/CityHall MRT)","Full-time, Permanent",6000,4000,False
70,Project Engineer,WEE HUR CONSTRUCTION PTE LTD,"Job Description

a) To report to the Manager or team leader as shown in the organization chart. He/she is responsible for the assigned or related project tasks and responsibilities.

b) The detailed duties and responsibilities include but not limited to the following:

i) Study and fully understand the ISO requirements, technical drawings, scope, contractual requirements and sub-contract agreements. Work with the consultants to resolve technical issues prior to construction.

ii) Submit to superior for feedback and concurrence on short or medium-term programmes and execute the works according to the detailed programme.

iii) Ensure that the works are carried out according to the approved drawings, quality procedures and EHS requirements. Managing the works with excellent housekeeping is a key focus.

iv) For quality management, the engineer is responsible to fully implement with the quality recordings, carry out result analysis and formulate action plans for continuous improvement.

v) Implement and maintain proper recordings to comply with EHS, quality, client and authorities’ requirements.

vi) Responsible for cost management so that the materials used for both temporary works and permanent works are not damaged or control the wastage within specified tolerance. Rework or abortive work which has serious time and cost impacts shall be avoided.

vii) Ad-hoc matters as assigned by the PM which is necessary for the execution of the project.

Job Requirement
Diploma/Bachelor's degree in Civil & Structural Engineering
- Mininum 2 - 5 years' experience working in construction industry
Fresh graduate is welcome to apply",Full-time,6000,3000,False
164,Assistant Test Engineer,RAIN TREE PHOTONICS PTE. LTD.,"Cost and energy-efficient scaling of optical interconnects are increasingly becoming bottlenecks for Cloud and Artificial Intelligence (AI) applications. Rain Tree Photonics’ proprietary Silicon Photonics platform directly addresses these bottlenecks, enabling truly scalable optical interconnect solutions. As a Silicon Photonics chipmaker, Rain Tree Photonics (RTP) fully leverages the fabless eco-system and extends beyond with a unique fabless++ approach. In conjunction with its DFM Silicon Photonics platform and technology IPs, this enables RTP to deliver high-performance, low-power products in volume at low cost. By overcoming various challenges faced by customers when using silicon photonic chips, RTP is able to greatly reduce the development cycle time of customers and help them bring their products to the market quickly. A spin-off from IME, A*STAR, RTP is backed by renowned venture capitalist firms. The team includes a good mix of silicon photonics experts, industry veterans and talented PhDs from world-class universities. RTP is headquartered in Singapore, with a presence in China.
Job Description
We are looking for an Assistant Test Engineer to join our Test team. You will be working alongside other experienced R&D and Test team members with strong track records of transforming innovative and complex silicon photonic integrated circuits into mass-produced products in the market. The candidate should also be a self-driven and independent professional who can adapt to a fast-moving and vibrant technology development environment. Most importantly, you should be a good team player with a passion for working on cutting-edge technology and the desire to learn.
Responsibilities:
Support the daily smooth running of testing line.
Conduct assembly, test and troubleshooting on products and R&D prototypes.
Assist in maintenance and upkeep of test lab including test equipment and instruments
Provide technical and analytical support for the daily lab operation and implement standard operating procedures
Enjoys exploring new or unconventional testing and packaging processes and technologies.
Other tasks that may be assigned from time to time.
Requirements:
Diploma - Electronics or equivalent
Working experience in related industries (semiconductor, optoelectronics, electronics) is preferred. Fresh graduates are also welcome to apply.
Prior test experience preferred.
Team player and yet able to work independently and pro-actively
Possesses high level of integrity with good work ethics
Benefits
CPF, annual leave and public holidays
Full corporate insurance coverage
Convenient working location (walking distance from Tai Seng MRT)
Email your resume to Careers@raintreephotonics.com and reference JD-RTP230901",Full-time,6000,3000,False
278,Technical Support Engineer,JUICE.RAW PTE. LTD.,"Job Title: Technical Support Engineer ( 工作描述)
Location: Kuala Lumpur
工作地点： 吉隆坡
Working hours: 7*24 Shift work basis , Hybrid Work Arrangement.
工作时间： 7*24 轮班制，混合工作制
Salary: Negotiable

About the client:
They are a reputable NASDAQ listed cloud computing company headquartered in Beijing and is currently expanding across Southeast Asia. Their regional office is in Singapore for more than 4 years running and business growth is good.

Job Description 工作描述 :
We are currently expanding our Tier 1 support team and we are seeking for those with
Technical Support background or fresh graduates majoring in computer science to join our growing team in providing the best technical service for our clients.
我们目前正在扩大我们的一级支持团队，我们正在寻找具有技术支持背景或计算机
科学专业应届毕业生加入我们不断壮大的团队，为我们的客户提供最好的技术服务。

Job Description 职责 :
Troubleshoot network and system services related issue by following the standard operating procedures.
Create documentation and record steps taken towards the resolution of an incident and add this to the knowledge database for future referral.
Escalate any incidents that cannot be resolved within specified times frames to the Tier 1 or relevant team.
按照标准操作程序解决网络和系统服务相关问题
创建文档并记录为解决事件所采取的步骤，并将其添加到知识数据库中以供将来参考。
将无法在指定时间范围内解决的任何事件上报给Tier 2 或相关团队。

Requirements 要求
Knowledge & experience in Domain Name System, Linux, Web Servers (Apache & Nginx), etc
Skills in networking / Internet protocols.
Fresh graduates are welcome to apply.
Willing to work in a 24x7 working environment.
· Proficiency in Mandarin and English.
· Malaysian citizen.
域名系统、Linux、Web 服务器（Apache 和 Nginx）
等方面的知识和经验
网络/互联网协议方面的技能
欢迎应届毕业生申请。

Please kindly email your resume in MS Word copy to Francesca.l@privasec.com with the header “Technical Support Engineer”.

Thank you.",Full-time,6000,2000,False
183,Project Engineer,TERRATECH ENGINEERING PTE. LTD.,"Job Description
Responsible monitor and co-ordinate with all parties based on schedule provided by Project Manager
Co-ordinate the inspection of works by Resident Engineer (RE) and/or Resident Technical Officer (RTO) and/or main contractor’s representative
Review and confirm drawings including problem solving and discussion prior to carry out activities
Liaison with client’s representative, relevant authorities and consultant
Assist the Project Manager in the implementation of the Company’s integrated Management System
Identify and assess any foreseeable risk arising from the workplace or work processes
Take reasonably practical measures to eliminate any foreseeable risk to any person who is at work on that workplace
Ensure safe work procedures are implemented to control risk
Ensure that environmental controls are implemented to prevent pollution
Requirements
1 to 2 years working experience as a Project Engineer are preferably
Fresh graduate is welcome to apply and will be considered
Knowledge of design and visualisations software such as AutoCAD
MS Office skills
Ability to work with multiple projects
Project management and supervision skills
Diploma/BS degree in Civil Engineering or relevant field",Full-time,6000,3000,False
187,PROJECT ENGINEER,CENTURY BUILDING CONSTRUCTION PTE. LTD.,"Job Scope:
To review project specifications and technical clarifications
To prepare method statements and check drawing discrepancies
To carry out project planning, design, material requisition, cost control, project supervision and documentation
To supervise the construction works and coordinate with client’s representatives, consultants and sub-contractors on technical matters
To target and ensure timely and smooth progress of works
To ensure quality of works is achieved and safety & environmental regulations are complied with
To ensure project activities complied with the Company’s ISO system
Requirements:
Fresh Graduates are welcome.
Diploma/ Degree in Civil & Structural Engineering .",Full-time,6000,3500,False
316,Cloud Operations Engineer,TP-LINK CORPORATION PTE. LTD.,"1. Cloud Platform Architecture and Framework: Collaborate with the Cloud Technical Development Team to design and develop the company's cloud platform architecture and framework. Ensure optimal operation of cloud services. 2. Secure and Scalable Cloud Platform: Design and implement a secure, scalable cloud platform that delivers essential security services:Identity and access management, Network security, Application security, Data protection. 3. Technical Documentation: Create and maintain technical documentation, including architecture diagrams, design documents, and standard operating procedures. Ensure compliance with regulatory standards. 4. Cloud Infrastructure Management: Manage and maintain cloud infrastructure across platforms such as AWS, Azure, and GCP. Oversee virtual machines, containers, networking, and storage services. 5. Security and Compliance: Guarantee adherence to security and compliance standards, including ISO27001, SOC2, and GDPR. 6. Technology Assessment: Participate in assessing technologies and offer recommendations to ensure the security platform leverages the latest cloud technologies and best practices.
Job Requirements:
Bachelor's degree in Computer Science, Information Technology, or a related field.
Cloud certification such as AWS Solutions Architect Professional, Azure Solutions Architect Expert, or GCP Professional Cloud Architect is preferred.
Job Type: Fresh graduate
Salary: From $6,000.00 per month
Schedule:
Monday to Friday
Supplemental pay types:
Performance bonus
Yearly bonus
Education:
Bachelor's or equivalent (Preferred)
Work Location: In person
Application Deadline: 18/06/2024",Fresh graduate,6000,-1,False
170,Project Engineer,FUJIAN NAN LU (SINGAPORE) PTE. LTD.,"Job Description
Planning, implementing and monitoring work schedule to meet project completion targets
Preparation of progress reports, construction method statements and technical proposal
Handling technical and engineering issues
Ensure inspection and conduct check on site works
Liaison with client’s representative, relevant authorities and consultants

Education
Degree in Civil or Structural engineering that is recognised by PE Board or Degree Qualification acceptable by BCA (Prefer register in IES as Resident Engineer)

Position Level
Executive

Minimum Experience
Fresh Graduate or 2 Years

Employment Type
Full Time","Full-time, Permanent",6000,3500,False
124,Project Engineer,CITIWALL ENGINEERING PTE. LTD.,"If interested, please send your resume to email (recruit@citiwall.com.sg)

Job Description:
Project Management
To resolve all technical and non-technical issues
To ensure the tracking and monitoring of items per contractual requirement
Responsible for submission and monitoring of technical drawings, method statements and proposals
To ensure construction meeting client & regulatory requirements
To carry out short-term planning to meet site progress
To co-ordinate, program and monitor site work, materials, plant & equipment
Carry out project objectives to align with company goals
Reduce material wastages on site and maximise usage of machineries/equipment
To control the allocated direct workforce effectively
Follow approved construction method that is cost effective, productive & without compromising on Quality & Safety
Job Requirements:
Willing to relocate in Singapore & visit construction site
Possesses a Bachelor Degree in Civil Engineering or equivalent
Have knowledge in the preparation of engineering project proposals and method statements
Able to understand the drawings and scope of works
Can work independently and willing to learn
Fresh graduates without experience are welcome to apply","Full-time, Permanent",6000,3000,False
243,MECHANICAL ENGINEER,HILT PTE. LTD.,"JOB RESPONSIBILITIES
Perform basic drafting
Prepare design drawings / calculations / schematic diagrams for;
Mechanical ventilation system
Fire protection system
Perform prescriptive based submissions to Fire Safety Department (FSD)
Attend meetings with clients, consultants, inspectors and authorities
REQUIREMENTS
Basic numerical and communication skills (written and verbal)
Able to work in teams
Attention to detail and iterations
Candidate is expected to be autonomous under supervision and guidance
Basic familiarity with Fire Code 2018, local code of practices and standards
Preferred 2 years of experience in M&E consultancy firm
Fresh graduates also welcome to apply
ACADEMIC QUALIFICATIONS
Minimum B.Eng. (Mechanical) from a recognised institution.",Permanent,6000,3000,False
147,Assistant Project Engineer / Project Engineer,SOLAR ERA PTE. LTD.,"Key Roles and Responsibilities:
Managing day to day project activities including scheduling, coordinating and monitoring and reporting update of projects.
Monitoring and ensure compliance to applicable scope of work, codes, practices, QA/QC policies, performance standards and specifications.
Execute projects, ensuring they are completed on time and within budget and identify potential issues or risks.
Co-ordination with Operations & Maintenance (O&M), technical / engineering resources / contractors / authorities for execution of the project.
Review of feasibility studies and cost estimates on proposed projects.
Technical review on design concept, engineering and operational matters on the project and related activities.
Assist in development, scoping and establishing project budget, schedule and control measures.
Prepare and maintain project documentation, including progress reports, budgets, and schedules.
Primary focal point between various parties.
Provide any other support.
Qualifications & Experiences:
Diploma/Degree in engineering or related field.
Fresh graduate is welcome to apply and for those with 5 to 10 years’ or more experience in Solar PV system design / engineering will be considered for senior position
Must have high level of integrity, able to generate trust and build alliances with co-workers.
Able to communicate effectively & diversely for prompt resolution to site matters.
Able to work independently, take initiative and ability to foresee and resolve issues before surfacing would be an added advantage.
Thorough understanding of SS638 and working knowledge of common construction materials and methods.
Proficiency in Microsoft Office, Autocad and construction software.
Knowledge of engineering principles and practices.
Previous experience in electrical works in construction is an added advantage
Ability to work cross functionally in a fast-paced environment, communicate concisely to all levels of the organization, and maintain effectiveness while working autonomously or collaboratively.
Ability to multi-task and manage deliverables for multiple projects at a time
Familiar with Job Safety Analysis, Work Method Statement and Permit to Work application requirements and procedures.
Ability to maintain good project documentation and is familiar with ISO documentation requirements.
Preferred Skills & Characteristics:
Proactive, positive and self-motivated with ability to work without close supervision
Strong interpersonal and leadership skills
Demostrated oral and written communication skills
Very detail oriented and well organized
Not afraid of heights, medically fit and able to climb vertical ladders.
Safety certifications such as Managing Work at Height, Building Construction Supervisors Safety Course etc. preferred.
We regret that only shortlisted applicants will be notified",Full-time,6000,3500,False
